movie_title,title_year,director_name,gross,budget,content_rating,language
Avatar ,2009.0,James Cameron,760505847.0,237000000.0,3,9
Pirates of the Caribbean: At World's End ,2007.0,Gore Verbinski,309404152.0,300000000.0,3,9
Spectre ,2015.0,Sam Mendes,200074175.0,245000000.0,3,9
The Dark Knight Rises ,2012.0,Christopher Nolan,448130642.0,250000000.0,3,9
John Carter ,2012.0,Andrew Stanton,73058679.0,263700000.0,3,9
Spider-Man 3 ,2007.0,Sam Raimi,336530303.0,258000000.0,3,9
Tangled ,2010.0,Nathan Greno,200807262.0,260000000.0,2,9
Avengers: Age of Ultron ,2015.0,Joss Whedon,458991599.0,250000000.0,3,9
Harry Potter and the Half-Blood Prince ,2009.0,David Yates,301956980.0,250000000.0,2,9
Batman v Superman: Dawn of Justice ,2016.0,Zack Snyder,330249062.0,250000000.0,3,9
Superman Returns ,2006.0,Bryan Singer,200069408.0,209000000.0,3,9
Quantum of Solace ,2008.0,Marc Forster,168368427.0,200000000.0,3,9
Pirates of the Caribbean: Dead Man's Chest ,2006.0,Gore Verbinski,423032628.0,225000000.0,3,9
The Lone Ranger ,2013.0,Gore Verbinski,89289910.0,215000000.0,3,9
Man of Steel ,2013.0,Zack Snyder,291021565.0,225000000.0,3,9
The Chronicles of Narnia: Prince Caspian ,2008.0,Andrew Adamson,141614023.0,225000000.0,2,9
The Avengers ,2012.0,Joss Whedon,623279547.0,220000000.0,3,9
Pirates of the Caribbean: On Stranger Tides ,2011.0,Rob Marshall,241063875.0,250000000.0,3,9
Men in Black 3 ,2012.0,Barry Sonnenfeld,179020854.0,225000000.0,3,9
The Hobbit: The Battle of the Five Armies ,2014.0,Peter Jackson,255108370.0,250000000.0,3,9
The Amazing Spider-Man ,2012.0,Marc Webb,262030663.0,230000000.0,3,9
Robin Hood ,2010.0,Ridley Scott,105219735.0,200000000.0,3,9
The Hobbit: The Desolation of Smaug ,2013.0,Peter Jackson,258355354.0,225000000.0,3,9
The Golden Compass ,2007.0,Chris Weitz,70083519.0,180000000.0,3,9
King Kong ,2005.0,Peter Jackson,218051260.0,207000000.0,3,9
Titanic ,1997.0,James Cameron,658672302.0,200000000.0,3,9
Captain America: Civil War ,2016.0,Anthony Russo,407197282.0,250000000.0,3,9
Battleship ,2012.0,Peter Berg,65173160.0,209000000.0,3,9
Jurassic World ,2015.0,Colin Trevorrow,652177271.0,150000000.0,3,9
Skyfall ,2012.0,Sam Mendes,304360277.0,200000000.0,3,9
Spider-Man 2 ,2004.0,Sam Raimi,373377893.0,200000000.0,3,9
Iron Man 3 ,2013.0,Shane Black,408992272.0,200000000.0,3,9
Alice in Wonderland ,2010.0,Tim Burton,334185206.0,200000000.0,2,9
X-Men: The Last Stand ,2006.0,Brett Ratner,234360014.0,210000000.0,3,9
Monsters University ,2013.0,Dan Scanlon,268488329.0,200000000.0,0,9
Transformers: Revenge of the Fallen ,2009.0,Michael Bay,402076689.0,200000000.0,3,9
Transformers: Age of Extinction ,2014.0,Michael Bay,245428137.0,210000000.0,3,9
Oz the Great and Powerful ,2013.0,Sam Raimi,234903076.0,215000000.0,2,9
The Amazing Spider-Man 2 ,2014.0,Marc Webb,202853933.0,200000000.0,3,9
TRON: Legacy ,2010.0,Joseph Kosinski,172051787.0,170000000.0,2,9
Cars 2 ,2011.0,John Lasseter,191450875.0,200000000.0,0,9
